ln(241) = 5.31494, error = 0.0319581
ln(242) = 5.31494, error = 0.0327372
ln(243) = 5.31494, error = 0.0335131
ln(244) = 5.31494, error = 0.0342857
ln(245) = 5.31494, error = 0.0350553
ln(246) = 5.31494, error = 0.0358217
ln(247) = 5.31494, error = 0.036585
ln(248) = 5.31494, error = 0.0373451
ln(249) = 5.31494, error = 0.0381023
ln(250) = 5.31494, error = 0.0388564
ln(251) = 5.31494, error = 0.0396075
ln(252) = 5.31494, error = 0.0403556
ln(253) = 5.31494, error = 0.0411008
ln(254) = 5.31494, error = 0.041843
ln(255) = 5.31494, error = 0.0425823
ln(256) = 5.54688, error = 0.000306035
ln(257) = 5.55078, error = 0.000307195
ln(258) = 5.55469, error = 0.000311099
ln(259) = 5.55859, error = 0.000317657
ln(260) = 5.5625, error = 0.000326864
ln(261) = 5.56641, error = 0.000338799
ln(262) = 5.57031, error = 0.000353285
ln(263) = 5.57422, error = 0.000370403
ln(264) = 5.57764, error = 0.000302552
ln(265) = 5.58154, error = 0.000324809
ln(266) = 5.58545, error = 0.000349681
ln(267) = 5.58936, error = 0.000376907
ln(268) = 5.59326, error = 0.000406652
ln(269) = 5.59717, error = 0.000438912
ln(270) = 5.60107, error = 0.000473511
ln(271) = 5.60498, error = 0.000510528
ln(272) = 5.60693, error = 0.00020181
ln(273) = 5.60742, error = 0.000365573
ln(274) = 5.61133, error = 0.00032079
ln(275) = 5.61523, error = 0.000273692
ln(276) = 5.61914, error = 0.000224284
ln(277) = 5.62305, error = 0.000172654
ln(278) = 5.62695, error = 0.000118723
ln(279) = 5.63086, error = 6.25806e-05
ln(280) = 5.63281, error = 0.000350973
ln(281) = 5.63672, error = 0.000290245
ln(282) = 5.64014, error = 0.00031391
ln(283) = 5.64404, error = 0.000248724
ln(284) = 5.64795, error = 0.000181517
ln(285) = 5.65186, error = 0.000112125
ln(286) = 5.65576, error = 4.07217e-05
ln(287) = 5.65967, error = 3.28582e-05
ln(288) = 5.66162, error = 0.000236582
ln(289) = 5.66553, error = 0.000158735
