cos(125) = -0.572937, error = 0.0011148
sin(125) = 0.819519, error = 0.000448023

cos(126) = -0.587097, error = 0.00117064
sin(126) = 0.809448, error = 0.000533052

cos(127) = -0.60144, error = 0.00062244
sin(127) = 0.798828, error = 0.00024118

cos(128) = -0.615295, error = 0.000594588
sin(128) = 0.788269, error = 0.000327774

cos(129) = -0.628967, error = 0.000561091
sin(129) = 0.777344, error = 0.000254506

cos(130) = -0.642517, error = 0.000420854
sin(130) = 0.766296, error = 0.000328889

cos(131) = -0.655884, error = 0.00026711
sin(131) = 0.754883, error = 0.000229535

cos(132) = -0.669067, error = 9.44861e-05
sin(132) = 0.743286, error = 0.000190148

cos(133) = -0.682007, error = 1.2428e-05
sin(133) = 0.731384, error = 4.1807e-05

cos(134) = -0.694763, error = 0.000150884
sin(134) = 0.719238, error = 0.000141128

cos(135) = -0.707397, error = 0.000411083
sin(135) = 0.706848, error = 0.000365767

cos(136) = -0.719238, error = 0.000141128
sin(136) = 0.694763, error = 0.000150884

cos(137) = -0.731384, error = 4.1807e-05
sin(137) = 0.682007, error = 1.2428e-05

cos(138) = -0.743286, error = 0.000190148
sin(138) = 0.669067, error = 9.44861e-05

cos(139) = -0.754883, error = 0.000229535
sin(139) = 0.655884, error = 0.00026711

cos(140) = -0.766296, error = 0.000328889
sin(140) = 0.642517, error = 0.000420854

cos(141) = -0.777344, error = 0.000254506
sin(141) = 0.628967, error = 0.000561091

cos(142) = -0.788269, error = 0.000327774
sin(142) = 0.615295, error = 0.000594588

cos(143) = -0.798828, error = 0.00024118
sin(143) = 0.60144, error = 0.00062244

cos(144) = -0.809448, error = 0.000533052
sin(144) = 0.587097, error = 0.00117064

cos(145) = -0.819519, error = 0.000448023
sin(145) = 0.572937, error = 0.0011148

cos(146) = -0.829407, error = 0.000445294
sin(146) = 0.558472, error = 0.00128976

cos(147) = -0.838989, error = 0.000379994
sin(147) = 0.543945, error = 0.00127373

cos(148) = -0.848145, error = 0.000113714
sin(148) = 0.529785, error = 0.000253072

cos(149) = -0.8573, error = 0.000154584
sin(149) = 0.514893, error = 0.000282497

cos(150) = -0.866211, error = 0.000214236
sin(150) = 0.499695, error = 0.000610352

cos(151) = -0.874634, error = 1.61006e-05
sin(151) = 0.484558, error = 0.000518791

cos(152) = -0.883301, error = 0.000400011
sin(152) = 0.468994, error = 0.00101694

cos(153) = -0.891296, error = 0.00032532
sin(153) = 0.45343, error = 0.00123422

cos(154) = -0.899109, error = 0.000350292
sin(154) = 0.437805, error = 0.00129108

cos(155) = -0.906677, error = 0.000407653
sin(155) = 0.421936, error = 0.00161429

cos(156) = -0.91394, error = 0.000432351
sin(156) = 0.405884, error = 0.00209682

cos(157) = -0.920166, error = 0.0003681
sin(157) = 0.391602, error = 0.00222771

cos(158) = -0.92688, error = 0.000327844
sin(158) = 0.375427, error = 0.00219071

cos(159) = -0.933289, error = 0.000312616
sin(159) = 0.359009, error = 0.00178822

cos(160) = -0.939331, error = 0.000384771
sin(160) = 0.342651, error = 0.00184558

cos(161) = -0.945251, error = 0.000282502
sin(161) = 0.32605, error = 0.00147941

cos(162) = -0.951294, error = 0.000249648
sin(162) = 0.308105, error = 0.00294976

cos(163) = -0.956482, error = 0.000185273
sin(163) = 0.291443, error = 0.00317689

cos(164) = -0.960876, error = 0.000400756
sin(164) = 0.27655, error = 0.0033121

cos(165) = -0.965759, error = 0.000172424
sin(165) = 0.25946, error = 0.0024782

cos(166) = -0.970093, error = 0.000209166
sin(166) = 0.242615, error = 0.00286394

cos(167) = -0.974182, error = 0.000192879
sin(167) = 0.225403, error = 0.00200834

cos(168) = -0.977844, error = 0.00031014
sin(168) = 0.208435, error = 0.00251726

cos(169) = -0.981567, error = 6.09199e-05
sin(169) = 0.191162, error = 0.00185062

cos(170) = -0.98468, error = 0.000129545
sin(170) = 0.174072, error = 0.00244223

cos(171) = -0.987671, error = 1.76596e-05
sin(171) = 0.156616, error = 0.0011618

cos(172) = -0.990112, error = 0.000157295
sin(172) = 0.139404, error = 0.00166121

cos(173) = -0.992554, error = 7.61607e-06
sin(173) = 0.121765, error = 0.000855069

cos(174) = -0.994446, error = 7.65137e-05
sin(174) = 0.104431, error = 0.000930951

cos(175) = -0.996033, error = 0.000162602
sin(175) = 0.0869751, error = 0.00207267

cos(176) = -0.997559, error = 5.46983e-06
sin(176) = 0.0704956, error = 0.0105959

cos(177) = -0.998596, error = 3.33891e-05
sin(177) = 0.0529175, error = 0.0111114

cos(178) = -0.999268, error = 0.000123324
sin(178) = 0.0354614, error = 0.0161014

cos(179) = -0.999634, error = 0.000213939
sin(179) = 0.0180054, error = 0.0316841

cos(180) = -0.999939, error = 6.10352e-05
sin(180) = 0.000427246, error = 3.48873e+12

cos(181) = -0.999634, error = 0.000213939
sin(181) = -0.0180054, error = 0.0316841

cos(182) = -0.999268, error = 0.000123324
sin(182) = -0.0354614, error = 0.0161014

cos(183) = -0.998596, error = 3.33891e-05
sin(183) = -0.0529175, error = 0.0111114

cos(184) = -0.997559, error = 5.46983e-06
sin(184) = -0.0704956, error = 0.0105959

cos(185) = -0.996033, error = 0.000162602
sin(185) = -0.0869751, error = 0.00207267

cos(186) = -0.994446, error = 7.65137e-05
sin(186) = -0.104431, error = 0.000930951

cos(187) = -0.992554, error = 7.61607e-06
sin(187) = -0.121765, error = 0.000855069

cos(188) = -0.990112, error = 0.000157295
sin(188) = -0.139404, error = 0.00166121

cos(189) = -0.987671, error = 1.76596e-05
sin(189) = -0.156616, error = 0.0011618

cos(190) = -0.98468, error = 0.000129545
sin(190) = -0.174072, error = 0.00244223

cos(191) = -0.981567, error = 6.09199e-05
sin(191) = -0.191162, error = 0.00185062

cos(192) = -0.977844, error = 0.00031014
sin(192) = -0.208435, error = 0.00251726

cos(193) = -0.974182, error = 0.000192879
sin(193) = -0.225403, error = 0.00200834

cos(194) = -0.970093, error = 0.000209166
sin(194) = -0.242615, error = 0.00286394

cos(195) = -0.965759, error = 0.000172424
sin(195) = -0.25946, error = 0.0024782

cos(196) = -0.960876, error = 0.000400756
sin(196) = -0.27655, error = 0.0033121

cos(197) = -0.956482, error = 0.000185273
sin(197) = -0.291443, error = 0.00317689

cos(198) = -0.951294, error = 0.000249648
sin(198) = -0.308105, error = 0.00294976

cos(199) = -0.945251, error = 0.000282502
sin(199) = -0.32605, error = 0.00147941

cos(200) = -0.939331, error = 0.000384771
sin(200) = -0.342651, error = 0.00184558

cos(201) = -0.933289, error = 0.000312616
sin(201) = -0.359009, error = 0.00178822

cos(202) = -0.92688, error = 0.000327844
sin(202) = -0.375427, error = 0.00219071

cos(203) = -0.920166, error = 0.0003681
sin(203) = -0.391602, error = 0.00222771

cos(204) = -0.91394, error = 0.000432351
sin(204) = -0.405884, error = 0.00209682

cos(205) = -0.906677, error = 0.000407653
sin(205) = -0.421936, error = 0.00161429

cos(206) = -0.899109, error = 0.000350292
sin(206) = -0.437805, error = 0.00129108

cos(207) = -0.891296, error = 0.00032532
sin(207) = -0.45343, error = 0.00123422

cos(208) = -0.883301, error = 0.000400011
sin(208) = -0.468994, error = 0.00101694

cos(209) = -0.874634, error = 1.61006e-05
sin(209) = -0.484558, error = 0.000518791

