exp(0) = 1, error = 0
exp(0.247) = 1.2793, error = 0.00068993
exp(0.248) = 1.2793, error = 0.00169119
exp(0.249) = 1.28125, error = 0.00116488
exp(0.25) = 1.28125, error = 0.00216647
exp(0.251) = 1.2832, error = 0.00164228
exp(0.252) = 1.2832, error = 0.00264439
exp(0.253) = 1.28516, error = 0.00212222
exp(0.254) = 1.28906, error = 8.50793e-05
exp(0.255) = 1.28906, error = 0.00108569
exp(0.256) = 1.29102, error = 0.0005712
exp(0.257) = 1.29102, error = 0.00157223
exp(0.258) = 1.29297, error = 0.00105982
exp(0.259) = 1.29297, error = 0.00206137
exp(0.26) = 1.29492, error = 0.00155101
exp(0.261) = 1.29492, error = 0.00255307
exp(0.262) = 1.29883, error = 0.000537935
exp(0.263) = 1.29883, error = 0.00153891
exp(0.264) = 1.30078, error = 0.00103567
exp(0.265) = 1.30078, error = 0.00203716
exp(0.266) = 1.30273, error = 0.00153585
exp(0.267) = 1.30273, error = 0.00253795
exp(0.268) = 1.30469, error = 0.00203865
exp(0.269) = 1.30469, error = 0.00304116
exp(0.27) = 1.30859, error = 0.00104753
exp(0.271) = 1.30859, error = 0.00204905
exp(0.272) = 1.31055, error = 0.00155671
exp(0.273) = 1.31055, error = 0.00255875
exp(0.274) = 1.3125, error = 0.00206847
exp(0.275) = 1.3125, error = 0.00307101
exp(0.276) = 1.31445, error = 0.00258261
exp(0.277) = 1.31445, error = 0.00358566
exp(0.278) = 1.31836, error = 0.00161323
exp(0.279) = 1.31836, error = 0.00261529
exp(0.28) = 1.32031, error = 0.00213379
exp(0.281) = 1.32031, error = 0.00313636
exp(0.282) = 1.32227, error = 0.00265679
exp(0.283) = 1.32227, error = 0.00365995
exp(0.284) = 1.32812, error = 0.000231754
exp(0.285) = 1.32812, error = 0.00123246
exp(0.286) = 1.33008, error = 0.000762446
exp(0.287) = 1.33008, error = 0.00176375
exp(0.288) = 1.33203, error = 0.00129561
exp(0.289) = 1.33203, error = 0.00229741
exp(0.29) = 1.33398, error = 0.00183123
exp(0.291) = 1.33398, error = 0.00283353
exp(0.292) = 1.33789, error = 0.000905993
exp(0.293) = 1.33789, error = 0.00190742
exp(0.294) = 1.33984, error = 0.00144785
exp(0.295) = 1.33984, error = 0.00244977
exp(0.296) = 1.3418, error = 0.00199204
exp(0.297) = 1.3418, error = 0.00299454
exp(0.298) = 1.34375, error = 0.00253873
exp(0.299) = 1.34375, error = 0.00354172
exp(0.3) = 1.34766, error = 0.00163406
exp(0.301) = 1.34766, error = 0.00263619
exp(0.302) = 1.34961, error = 0.00218684
exp(0.303) = 1.34961, error = 0.00318955
exp(0.304) = 1.35156, error = 0.00274208
exp(0.305) = 1.35156, error = 0.00374528
exp(0.306) = 1.35352, error = 0.00329969
exp(0.307) = 1.35352, error = 0.00430346
exp(0.308) = 1.35742, error = 0.00241524
exp(0.309) = 1.35742, error = 0.00341814
exp(0.31) = 1.35938, error = 0.00297897
exp(0.311) = 1.35938, error = 0.00398246
exp(0.312) = 1.36133, error = 0.00354503
exp(0.313) = 1.36328, error = 0.00310991
exp(0.314) = 1.36328, error = 0.00411349
exp(0.314999) = 1.36914, error = 0.00081653
exp(0.315999) = 1.36914, error = 0.00181791
exp(0.316999) = 1.37109, error = 0.00139164
exp(0.317999) = 1.37109, error = 0.0023935
exp(0.318999) = 1.37305, error = 0.0019691
exp(0.319999) = 1.37305, error = 0.00297154
exp(0.320999) = 1.375, error = 0.00254891
exp(0.321999) = 1.375, error = 0.003552
